2.107.73.206 	8080 	elite 	19.01.12 02:04 	2/5 	127,55 KB/s 	Unknown 	check
200.11.76.166 	8118 	elite 	19.01.12 10:36 	4/5 	48,58 KB/s 	Netherlands 	check
200.113.109.75 	81 	elite 	19.01.12 06:33 	5/5 	32,75 KB/s 	Chile 	check
200.198.116.61 	3128 	elite 	18.01.12 16:42 	2/5 	45,44 KB/s 	Brazil 	check
200.214.132.99 	6588 	elite 	18.01.12 18:34 	1/5 	26,49 KB/s 	Brazil 	check
201.65.32.131 	80 	elite 	19.01.12 05:20 	2/5 	36,84 KB/s 	Unknown 	check
202.116.62.218 	808 	elite 	18.01.12 16:47 	3/5 	26,36 KB/s 	China 	check
202.185.32.12 	8080 	elite 	18.01.12 17:16 	5/5 	38,96 KB/s 	Malaysia 	check
202.185.32.12 	8080 	elite 	19.01.12 11:06 	1/5 	29,85 KB/s 	Malaysia 	check
202.23.159.52 	3124 	elite 	19.01.12 09:07 	4/5 	49,47 KB/s 	Japan 	check
202.53.225.163 	80 	elite 	18.01.12 23:14 	5/5 	38,52 KB/s 	Indonesia 	check
202.67.13.82 	3128 	elite 	19.01.12 03:18 	2/5 	62,24 KB/s 	Indonesia 	check
202.67.13.86 	8080 	elite 	18.01.12 17:17 	2/5 	62,00 KB/s 	Indonesia 	check
202.75.53.218 	9090 	elite 	18.01.12 17:18 	1/5 	50,43 KB/s 	Malaysia 	check
202.85.215.20 	80 	elite 	19.01.12 05:24 	5/5 	32,46 KB/s 	China 	check
203.156.192.69 	808 	elite 	19.01.12 09:03 	1/5 	21,25 KB/s 	China 	check
203.157.159.2 	3128 	elite 	19.01.12 11:02 	1/5 	19,79 KB/s 	Thailand 	check
203.37.28.10 	80 	elite 	19.01.12 08:30 	3/5 	21,77 KB/s 	Australia 	check
206.53.155.129 	3128 	elite 	19.01.12 04:37 	5/5 	69,53 KB/s 	United States 	check
208.64.176.157 	80 	elite 	19.01.12 09:08 	3/5 	102,56 KB/s 	Unknown 	check
110.234.12.196 	80 	anonymous 	18.01.12 19:10 	5/5 	63,52 KB/s 	Unknown 	check
116.248.41.72 	808 	anonymous 	18.01.12 18:52 	4/5 	20,19 KB/s 	Unknown 	check
124.247.205.220 	3128 	anonymous 	18.01.12 19:16 	3/5 	54,26 KB/s 	Unknown 	check
173.18.188.243 	6515 	anonymous 	18.01.12 19:17 	3/5 	41,78 KB/s 	United States 	check
173.217.167.157 	36081 	anonymous 	18.01.12 18:57 	5/5 	41,92 KB/s 	Unknown 	check
174.60.131.134 	6515 	anonymous 	18.01.12 19:25 	1/5 	72,58 KB/s 	Unknown 	check
174.66.11.126 	6515 	anonymous 	18.01.12 19:26 	2/5 	75,63 KB/s 	Unknown 	check
176.9.22.77 	8080 	anonymous 	18.01.12 13:31 	1/5 	500,77 KB/s 	Unknown 	check
188.192.8.221 	6515 	anonymous 	18.01.12 19:31 	1/5 	253,88 KB/s 	Unknown 	check
